id_mutation,nom_station,distance_station_plus_proche
2022-1623422,Canal Saint-Denis,162.9460997247983
2022-1623427,Angélique Compoint,216.8438258684942
2022-1623441,Guy Môquet,200.71666017304693
2022-1623455,Laumière,236.74426889431479
2022-1623459,Marx Dormoy,373.0003286870856
2022-1623474,Strasbourg-Saint-Denis,137.1551001449882
2022-1623483,Simplon,163.99659505433087
2022-1623483,Simplon,163.99659505433087
2022-1623484,Colonel Fabien,283.9451290974154
2022-1623494,Angélique Compoint,248.2559213857674
2022-1623498,Marx Dormoy,348.5840580966754
2022-1623499,Angélique Compoint,216.8438258684942
2022-1623505,Liège,179.31285699463388
2022-1623506,Château Rouge,391.89306664973066
2022-1623515,Place des Fêtes,230.0878310149545
2022-1623535,Pont-Cardinet,269.2012048529883
2022-1623537,Simplon,186.39842115025107
2022-1623540,Pyrénées,329.57853380633514
2022-1623541,Jules Joffrin,143.45467304375452
2022-1623543,Honoré de Balzac,173.65899413541194
2022-1623545,Danube,371.019013037795
2022-1623547,Jourdain,283.47520296709575
2022-1623556,Belleville,229.91967719177947
2022-1623557,Filles du Calvaire,173.70570665031727
2022-1623559,Épinettes - Pouchet,118.07618589634193
2022-1623563,Guy Môquet,234.58146545602253
2022-1623564,Jourdain,200.29877737359755
2022-1623565,Pyrénées,329.57853380633514
2022-1623565,Pyrénées,329.57853380633514
2022-1623583,Ternes,126.18174501426155
2022-1623585,Pelleport,192.43941850380855
2022-1623590,Porte de Vincennes,111.86890366204838
2022-1623596,Marx Dormoy,340.82491018546716
2022-1623601,Louis Blanc,78.52238674240326
2022-1623604,Poissonnière,182.0661712998921
2022-1623607,Magenta,54.52910000910382
2022-1623609,Saint-Fargeau,96.89072759137257
2022-1623620,Porte de Champerret,114.41496897462521
2022-1623623,Jaurès,63.46868867648892
2022-1623629,Barbès-Rochechouart,87.04874015147197
2022-1623630,Funiculaire Montmartre Station Haute,167.80419782712949
2022-1623637,Jourdain,357.37840437537454
2022-1623643,Louis Blanc,142.91076056987106
2022-1623647,Maraîchers,64.32448232073452
2022-1623652,Réaumur Sébastopol,142.82199335020817
2022-1623661,Rosa Parks,396.4124238347406
2022-1623669,Château d'Eau,79.99078419860069
2022-1623670,Marie de Miribel,496.6128051372761
2022-1623682,Goncourt,345.9779147841569
2022-1623686,Télégraphe,455.4354553767318
2022-1623689,Couronnes,198.10710744880612
2022-1623704,Château-Landon,145.89341104181912
2022-1623717,Europe,164.09671051028374
2022-1623719,Porte de Clichy,118.57352961347904
2022-1623719,Porte de Clichy,118.57352961347904
2022-1623724,Porte de Clichy,279.4437859066619
2022-1623727,Simplon,95.46591793571953
2022-1623728,Porte de Vincennes,67.56041930571962
2022-1623732,Saint-Fargeau,300.39703602150604
2022-1623736,Porte de Clignancourt,140.47299404043775
2022-1623738,Rambuteau,262.1994297166082
2022-1623744,Pelleport,50.61555807013439
2022-1623765,Jaurès,74.14710499634855
2022-1623765,Jaurès,74.14710499634855
2022-1623765,Jaurès,74.14710499634855
2022-1623767,Funiculaire Montmartre Station Basse,117.0557454853785
2022-1623771,Corentin Cariou,396.0271206264225
2022-1623782,Château Rouge,289.8259514623227
2022-1623788,Porte d'Asnières,182.49929458034217
2022-1623789,Séverine,255.53074774142792
2022-1623790,Saint-Georges,77.37109169207008
2022-1623802,Crimée,165.3563654365136
2022-1623804,Gambetta,582.7322536355257
2022-1623809,Château d'Eau,138.81057158705258
2022-1623816,Étienne Marcel,176.54844421260492
2022-1623818,Jourdain,141.5039717025332
2022-1623825,Couronnes,59.72719569328636
2022-1623831,Marie de Miribel,305.6150031326448
2022-1623831,Marie de Miribel,305.6150031326448
2022-1623832,La Chapelle,328.68206574186917
2022-1623837,Ménilmontant,156.036055111242
2022-1623838,Porte de Champerret,61.05494173284305
2022-1623839,Filles du Calvaire,258.33088789809784
2022-1623841,Pelleport,114.77711165502268
2022-1623842,Miromesnil,355.51061093825473
2022-1623851,Ourcq,408.7959587699883
2022-1623861,Belleville,170.93382857996215
2022-1623866,Ourcq,367.6082043721785
2022-1623867,Marx Dormoy,225.94104171990304
2022-1623877,Télégraphe,366.03695216420346
2022-1623889,Jules Joffrin,242.32542135471286
2022-1623896,Saint-Fargeau,27.01306035035869
2022-1623901,Saint-Fargeau,135.64399939494913
2022-1623909,Hôpital Robert Debré,154.68174431973463
2022-1623910,Simplon,206.14824037989015
2022-1623914,La Chapelle,412.21724042253277
2022-1623920,Pigalle,117.49032868288953
2022-1623921,Gambetta,353.52819107169177
2022-1623930,Ourcq,366.83355867213595
2022-1623932,Épinettes - Pouchet,103.21645191018916
2022-1623934,Pré Saint-Gervais,203.1451569837259
2022-1623948,Guy Môquet,334.8491872282697
2022-1623950,Porte d'Asnières,268.06144642226377
2022-1623951,Jacques Bonsergent,397.15847911634285
2022-1623958,Porte de Clichy,240.49772243931588
2022-1623963,Jacques Bonsergent,178.67525447924646
2022-1623965,Belleville,271.14651061658793
2022-1623986,Télégraphe,215.9761742222375
2022-1623999,Pelleport,472.6679800768896
2022-1624013,Ménilmontant,485.1731407439966
2022-1624014,Rosa Parks,261.67717006367036
2022-1624015,Télégraphe,154.25144894314715
2022-1624017,Buzenval,38.611653143039526
2022-1624021,Jacques Bonsergent,53.32598916112535
2022-1624023,Château Rouge,292.4515199417664
2022-1624024,La Fourche,422.28278685715406
2022-1624027,Simplon,124.4628701838016
2022-1624034,Barbès-Rochechouart,90.17597571969705
2022-1624038,Bolivar,176.41974203335556
2022-1624041,Marcadet-Poissonniers,166.87632487470225
2022-1624044,Ternes,435.3990683905818
2022-1624046,Rosa Parks,287.59528118823516
2022-1624051,Château d'Eau,79.99078419860069
2022-1624056,Pelleport,247.7575004509673
2022-1624058,Buzenval,144.12854999401733
2022-1624073,Gare de l'Est,346.33924154567023
2022-1624080,Pyrénées,177.31286272821583
2022-1624084,Anvers,264.35422087555133
2022-1624086,Jaurès,208.20302202454445
2022-1624092,Neuilly Porte Maillot,479.21009492442363
2022-1624100,Angélique Compoint,248.2559213857674
2022-1624101,Malesherbes,341.40219765364185
2022-1624102,Malesherbes,341.40219765364185
2022-1624128,Père Lachaise,149.81471483588393
2022-1624131,Honoré de Balzac,385.01878723673974
2022-1624131,Honoré de Balzac,385.01878723673974
2022-1624132,Belleville,229.91967719177947
2022-1624142,Filles du Calvaire,85.37672404134237
2022-1624146,Strasbourg-Saint-Denis,111.94545252827997
2022-1624151,Marx Dormoy,165.49961242809837
2022-1624173,Jaurès,77.5071590669157
2022-1624178,Rome,328.93661876593046
2022-1624195,La Chapelle,207.87512037392824
2022-1624203,Angélique Compoint,212.45942294603634
2022-1624211,Chemin Vert,241.3448152632281
2022-1624215,Porte de Saint-Ouen,480.46676121716064
2022-1624218,Marcadet-Poissonniers,146.9487909350876
2022-1624222,Funiculaire Montmartre Station Basse,141.5651366669615
2022-1624224,Marx Dormoy,348.5840580966754
2022-1624226,Ourcq,67.36821428275537
2022-1624247,La Fourche,263.81001655672526
2022-1624251,La Fourche,203.30043435503973
2022-1624262,Porte de Bagnolet,193.48673736071274
2022-1624263,Gambetta,140.12157183545565
2022-1624269,Marx Dormoy,306.74870372066584
2022-1624273,Crimée,216.51402956357515
