id_mutation,nom_ev,distance_parc_plus_proche
2022-1623950,SQUARE ALEXIS CLEREL DE TOCQUEVILLE,194.08992322979003
2022-1623951,SQUARE DES RECOLLETS,177.16524833588952
2022-1623958,SQUARE ERNEST GOUIN,145.82397646147336
2022-1623963,SQUARE DES RECOLLETS,331.03745073860694
2022-1623965,JARDIN DE LA RUE REBEVAL,313.2557306125215
2022-1623986,JARDIN PIXERECOURT,142.8072026119613
2022-1623999,SQUARE EMMI PIKLER,188.95013086359472
2022-1624013,SQUARE DE L'EGLISE NOTRE-DAME DE LA CROIX,215.44076739764594
2022-1624014,SQUARE DE LA RUE CURIAL,187.06956470108108
2022-1624015,SQUARE RUES BELLEVILLE - TELEGRAPHE,151.10549454720135
2022-1624017,SQUARE EMILY DICKINSON,231.56504218495655
2022-1624021,SQUARE DES RECOLLETS,515.675381037237
2022-1624023,SQUARE DU PASSAGE LEON,397.69971287478324
2022-1624024,SQUARE HELENE,524.863570009489
2022-1624027,SQUARE MAURICE KRIEGEL-VALRIMONT DIT SQUARE DE CLIGNANCOURT,233.73711140684912
2022-1624034,SQUARE DU PASSAGE LEON,413.47937884665197
2022-1624038,SQUARE DU QUAI DE LA LOIRE,523.8869263444211
2022-1624041,SQUARE MAURICE KRIEGEL-VALRIMONT DIT SQUARE DE CLIGNANCOURT,204.41973770611088
2022-1624044,PROMENADE PEREIRE - PROMENADE ROSEMONDE PUJOL,258.06229022934053
2022-1624046,PROMENADE RUE D'AUBERVILLIERS,245.17626271497167
2022-1624051,SQUARE SAINT-LAURENT,247.01727759295872
2022-1624056,JARDIN PIERRE SEGHERS,425.8700226543946
